czas,dh/dt,h(t)_num,h(t)_ana,blad h,blad_wgledny_h,h(0),alfa,Dt
0,"-3,18",3,3,0,0,3,"1,06","0,001775"
"0,001775","-3,17401683","2,9943555","2,994360807","0,000005306734646","0,000001772242889",,,
"0,00355","-3,168044917","2,98872162","2,988732214","0,00001059350944","0,000003544482637",,,
"0,005325","-3,162084241","2,98309834","2,983114201","0,00001586038068","0,000005316719244",,,
"0,0071","-3,156134779","2,977485641","2,977506748","0,00002110740453","0,00000708895271",,,
"0,008875","-3,150196512","2,971883502","2,971909836","0,00002633463702","0,000008861183035",,,
"0,01065","-3,144269417","2,966291903","2,966323445","0,00003154213404","0,00001063341022",,,
"0,012425","-3,138353474","2,960710825","2,960747555","0,00003672995131","0,00001240563426",,,
"0,0142","-3,132448662","2,955140247","2,955182145","0,00004189814445","0,00001417785517",,,
"0,015975","-3,12655496","2,949580151","2,949627198","0,00004704676891","0,00001595007293",,,
"0,01775","-3,120672347","2,944030516","2,944082692","0,00005217588003","0,00001772228755",,,
"0,019525","-3,114800802","2,938491322","2,938548608","0,00005728553299","0,00001949449903",,,
"0,0213","-3,108940304","2,932962551","2,933024927","0,00006237578283","0,00002126670737",,,
"0,023075","-3,103090833","2,927444182","2,927511629","0,00006744668446","0,00002303891257",,,
"0,02485","-3,097252367","2,921936196","2,922008694","0,00007249829265","0,00002481111463",,,
"0,026625","-3,091424887","2,916438573","2,916516103","0,00007753066204","0,00002658331355",,,
"0,0284","-3,085608371","2,910951294","2,911033837","0,00008254384711","0,00002835550932",,,
"0,030175","-3,079802799","2,905474339","2,905561877","0,00008753790224","0,00003012770196",,,
"0,03195","-3,07400815","2,900007689","2,900100202","0,00009251288163","0,00003189989145",,,
"0,033725","-3,068224404","2,894551324","2,894648793","0,00009746883939","0,00003367207781",,,
"0,0355","-3,062451539","2,889105226","2,889207632","0,0001024058294","0,00003544426102",,,
"0,037275","-3,056689537","2,883669374","2,883776698","0,0001073239056","0,00003721644109",,,
"0,03905","-3,050938376","2,878243751","2,878355974","0,0001122231216","0,00003898861803",,,
"0,040825","-3,045198035","2,872828335","2,872945438","0,0001171035309","0,00004076079182",,,
"0,0426","-3,039468495","2,867423108","2,867545074","0,000121965187","0,00004253296247",,,
"0,044375","-3,033749735","2,862028052","2,86215486","0,0001268081431","0,00004430512998",,,
"0,04615","-3,028041735","2,856643146","2,856774778","0,0001316324524","0,00004607729435",,,
"0,047925","-3,022344474","2,851268372","2,85140481","0,0001364381678","0,00004784945558",,,
"0,0497","-3,016657933","2,845903711","2,846044936","0,0001412253423","0,00004962161366",,,
"0,051475","-3,010982091","2,840549143","2,840695137","0,0001459940286","0,00005139376861",,,
"0,05325","-3,005316928","2,835204649","2,835355394","0,0001507442792","0,00005316592042",,,
"0,055025","-2,999662425","2,829870212","2,830025688","0,0001554761468","0,00005493806908",,,
"0,0568","-2,99401856","2,824545811","2,824706001","0,0001601896835","0,00005671021461",,,
"0,058575","-2,988385314","2,819231428","2,819396313","0,0001648849417","0,00005848235699",,,
"0,06035","-2,982762667","2,813927044","2,814096606","0,0001695619734","0,00006025449624",,,
"0,062125","-2,977150599","2,808632641","2,808806861","0,0001742208305","0,00006202663234",,,
"0,0639","-2,97154909","2,803348198","2,80352706","0,0001788615649","0,0000637987653",,,
"0,065675","-2,96595812","2,798073699","2,798257183","0,0001834842283","0,00006557089513",,,
"0,06745","-2,96037767","2,792809123","2,792997212","0,0001880888721","0,00006734302181",,,
"0,069225","-2,95480772","2,787554453","2,787747128","0,0001926755479","0,00006911514535",,,
"0,071","-2,949248249","2,782309669","2,782506913","0,000197244307","0,00007088726575",,,
"0,072775","-2,943699238","2,777074753","2,777276548","0,0002017952004","0,00007265938301",,,
"0,07455","-2,938160668","2,771849687","2,772056015","0,0002063282793","0,00007443149713",,,
"0,076325","-2,932632519","2,766634452","2,766845295","0,0002108435946","0,0000762036081",,,
"0,0781","-2,927114771","2,761429029","2,76164437","0,0002153411969","0,00007797571594",,,
"0,079875","-2,921607404","2,7562334","2,756453222","0,0002198211371","0,00007974782064",,,
"0,08165","-2,9161104","2,751047547","2,751271831","0,0002242834656","0,00008151992219",,,
"0,083425","-2,910623738","2,745871451","2,74610018","0,0002287282327","0,00008329202061",,,
"0,0852","-2,9051474","2,740705094","2,74093825","0,0002331554889","0,00008506411588",,,
"0,086975","-2,899681365","2,735548458","2,735786023","0,0002375652842","0,00008683620802",,,
"0,08875","-2,894225614","2,730401523","2,730643481","0,0002419576686","0,00008860829701",,,
"0,090525","-2,888780129","2,725264273","2,725510605","0,000246332692","0,00009038038287",,,
"0,0923","-2,883344889","2,720136688","2,720387378","0,0002506904042","0,00009215246558",,,
"0,094075","-2,877919876","2,715018751","2,715273782","0,0002550308549","0,00009392454515",,,
"0,09585","-2,87250507","2,709910443","2,710169797","0,0002593540935","0,00009569662158",,,
"0,097625","-2,867100451","2,704811746","2,705075407","0,0002636601694","0,00009746869487",,,
"0,0994","-2,861706002","2,699722643","2,699990592","0,0002679491319","0,00009924076502",,,
"0,101175","-2,856321702","2,694643115","2,694915336","0,0002722210302","0,000101012832",,,
"0,10295","-2,850947533","2,689573144","2,68984962","0,0002764759132","0,0001027848959",,,
"0,104725","-2,845583475","2,684512712","2,684793426","0,0002807138298","0,0001045569566",,,
"0,1065","-2,84022951","2,679461801","2,679746736","0,0002849348288","0,0001063290142",,,
"0,108275","-2,834885618","2,674420394","2,674709533","0,0002891389589","0,0001081010687",,,
"0,11005","-2,82955178","2,669388472","2,669681798","0,0002933262685","0,00010987312",,,
"0,111825","-2,824227979","2,664366018","2,664663514","0,0002974968061","0,0001116451681",,,
"0,1136","-2,818914194","2,659353013","2,659654664","0,0003016506199","0,0001134172132",,,
"0,115375","-2,813610407","2,65434944","2,654655228","0,0003057877582","0,0001151892551",,,
"0,11715","-2,808316599","2,649355282","2,64966519","0,0003099082688","0,0001169612938",,,
